Year,Month,Variable,101
1962,8,mintemp,19.3
1962,9,mintemp,16
1962,10,mintemp,10.1
1962,11,mintemp,3.8
1962,12,mintemp,-1.3
1963,1,mintemp,-2.9
1963,2,mintemp,-2.8
1963,3,mintemp,5.9
1963,4,mintemp,10.5
1963,5,mintemp,13.6
1963,6,mintemp,17.7
1963,7,mintemp,18.4
1963,8,mintemp,18.6
1963,9,mintemp,14.7
1963,10,mintemp,8.5
1963,11,mintemp,3.3
1963,12,mintemp,-3.9
1964,1,mintemp,-1.4
1964,2,mintemp,-1.2
1964,3,mintemp,4
1964,4,mintemp,10.3
1964,5,mintemp,13
1964,6,mintemp,17.8
1964,7,mintemp,19
1964,8,mintemp,18.2
1964,9,mintemp,15.8
1964,10,mintemp,6.6
1964,11,mintemp,5.1
1964,12,mintemp,3
1965,1,mintemp,0.3
1965,2,mintemp,0.3
1965,3,mintemp,4.3
1965,4,mintemp,10.6
1965,5,mintemp,13.2
1965,6,mintemp,16.8
1965,7,mintemp,18.8
1965,8,mintemp,18.4
1965,9,mintemp,16.7
1965,10,mintemp,7.8
1965,11,mintemp,5.6
1965,12,mintemp,0
1966,1,mintemp,-1.4
1966,2,mintemp,1.4
1966,3,mintemp,3.4
1966,4,mintemp,9.4
1966,5,mintemp,13.2
1966,6,mintemp,15.4
1966,7,mintemp,19.7
1966,8,mintemp,18.7
1966,9,mintemp,15.6
1966,10,mintemp,8.6
1966,11,mintemp,5.2
1966,12,mintemp,1.6
1967,1,mintemp,0.9
1967,2,mintemp,0.5
1967,3,mintemp,6.6
1967,4,mintemp,11.7
1967,5,mintemp,13.2
1967,6,mintemp,17.4
1967,7,mintemp,18.3
1967,8,mintemp,18
1967,9,mintemp,13.4
1967,10,mintemp,7.3
1967,11,mintemp,1.8
1967,12,mintemp,4
1968,1,mintemp,-1
1968,2,mintemp,-2.8
1968,3,mintemp,2.7
1968,4,mintemp,9.6
1968,5,mintemp,13.2
1968,6,mintemp,16.8
1968,7,mintemp,19.1
1968,8,mintemp,19.4
1968,9,mintemp,14.8
1968,10,mintemp,9.8
